date,open,close,high,low,volume,amount,turnover
2025-01-02,19.3,19.53,20.46,19.17,113327.0,223650.821,
2025-01-03,20.97,20.63,21.48,20.5,389297.69,822308.802,
2025-01-06,20.2,21.02,21.51,20.2,280003.68,587149.311,
2025-01-07,20.68,20.82,20.92,20.26,163996.05,338195.977,
2025-01-08,20.82,19.98,21.15,19.36,182205.0,367278.657,
2025-01-09,19.87,19.64,20.06,19.54,90653.0,178918.613,
2025-01-10,19.67,19.31,20.16,19.29,97012.74,190631.357,
2025-01-13,19.1,18.6,19.18,18.45,111505.19,208995.994,
2025-01-14,18.73,19.33,19.37,18.53,75719.65,144481.276,
2025-01-15,19.38,19.16,19.4,19.04,52474.0,100614.571,
2025-01-16,19.22,19.03,19.49,19.0,51813.03,99641.035,
2025-01-17,18.89,19.59,19.85,18.88,78126.0,151820.136,
2025-01-20,19.88,20.03,20.35,19.7,80709.0,161944.532,
2025-01-21,20.07,19.98,20.2,19.85,49782.5,99418.287,
2025-01-22,19.88,19.79,19.96,19.63,43606.0,86139.752,
2025-01-23,19.93,19.96,20.39,19.86,74609.0,150161.817,
2025-01-24,19.9,20.01,20.13,19.82,45094.14,90114.809,
2025-01-27,20.02,19.76,20.26,19.69,38535.34,76655.798,
2025-02-05,19.93,21.0,21.21,19.81,157009.16,324498.147,
2025-02-06,20.95,21.0,21.15,20.69,87543.47,183412.295,
2025-02-07,21.09,21.02,21.43,20.81,97437.95,205294.746,
2025-02-10,21.02,21.7,21.77,20.87,145329.26,312057.751,
2025-02-11,21.64,21.48,21.67,21.3,71714.72,153848.012,
2025-02-12,21.38,21.06,21.43,20.87,105091.0,221505.777,
2025-02-13,21.01,20.9,21.2,20.86,59107.31,124265.069,
2025-02-14,20.9,21.68,21.76,20.9,138198.82,296176.703,
2025-02-17,21.83,22.13,22.35,21.71,150573.41,332461.843,
2025-02-18,22.04,21.4,22.09,21.32,92442.04,200260.591,
2025-02-19,21.41,21.72,21.86,21.25,77397.76,166955.115,
2025-02-20,21.87,21.9,22.47,21.72,96883.06,214339.544,
2025-02-21,22.05,22.16,22.22,21.76,95033.26,209410.7,
2025-02-24,22.13,21.65,22.15,21.5,94489.21,205717.841,
2025-02-25,21.5,21.28,21.62,21.23,67487.63,144585.846,
2025-02-26,21.36,21.43,21.46,21.15,75332.44,160405.004,
2025-02-27,21.51,21.32,21.56,21.01,65721.66,139821.629,
2025-02-28,21.25,20.72,21.28,20.62,80118.27,167398.363,
2025-03-03,20.8,20.85,21.32,20.8,58394.0,122954.526,
2025-03-04,20.7,21.26,21.37,20.65,54201.78,114555.512,
2025-03-05,21.26,20.9,21.3,20.75,75339.12,157432.337,
2025-03-06,20.87,21.79,21.95,20.87,145035.93,311981.054,
2025-03-07,21.82,22.75,23.5,21.77,264660.91,606888.832,
2025-03-10,22.93,22.68,23.08,22.27,114341.08,258492.549,
2025-03-11,22.32,22.37,22.49,22.16,71543.25,159621.311,
2025-03-12,22.37,22.13,22.65,22.12,65590.26,146299.506,
2025-03-13,22.13,21.89,22.31,21.69,68282.52,150081.764,
2025-03-14,21.99,22.35,22.38,21.74,91586.08,202607.585,
2025-03-17,22.35,21.98,22.45,21.94,66387.84,146731.888,
2025-03-18,22.09,22.06,22.6,22.02,66395.71,147748.072,
2025-03-19,21.91,22.05,22.07,21.8,51221.09,112434.816,
2025-03-20,22.05,21.76,22.07,21.68,56568.9,123362.153,
2025-03-21,21.73,21.31,21.8,21.18,59560.0,127686.704,
2025-03-24,21.86,23.19,23.44,21.86,420763.08,969934.722,
2025-03-25,22.96,22.59,23.25,22.44,234329.96,532641.95,
2025-03-26,22.61,22.2,22.76,22.01,132106.71,295213.245,
2025-03-27,22.19,22.47,22.54,21.47,133737.0,295381.987,
2025-03-28,22.47,23.9,24.04,22.37,331522.57,781182.278,
2025-03-31,23.35,23.1,23.61,22.8,194035.1,449231.275,
2025-04-01,23.5,24.39,25.4,23.35,314838.72,774651.573,
2025-04-02,24.03,24.1,24.6,23.89,153541.23,370260.367,
2025-04-03,23.72,23.7,25.16,23.65,204365.14,497307.552,
2025-04-07,22.05,21.33,22.93,21.33,204842.0,447226.571,
2025-04-08,21.47,20.7,21.72,20.15,214138.01,444790.395,
2025-04-09,20.0,20.45,20.64,18.9,176063.0,351040.815,
2025-04-10,20.97,20.93,21.41,20.79,156760.69,329854.019,
2025-04-11,20.62,21.33,22.11,20.57,177010.86,380182.277,
2025-04-14,21.49,21.74,22.21,21.46,116462.0,254628.013,
2025-04-15,21.74,21.75,21.97,21.39,75080.39,162891.371,
2025-04-16,21.8,21.15,21.83,20.89,90950.0,192616.667,
2025-04-17,20.96,21.27,21.54,20.96,59144.59,126325.122,
2025-04-18,21.4,21.26,21.84,21.09,57491.0,122997.632,
2025-04-21,21.31,22.3,22.55,21.31,144320.79,321424.498,
2025-04-22,22.13,22.36,22.62,21.95,84190.07,187552.297,
2025-04-23,22.45,22.45,22.75,22.33,68201.09,153420.066,
2025-04-24,22.51,22.38,22.76,22.17,73548.07,165067.447,
2025-04-25,21.89,21.54,21.89,21.16,174894.34,374570.56,
2025-04-28,21.5,21.8,22.05,21.12,119861.83,258525.812,
2025-04-29,21.79,21.73,22.05,21.61,63793.0,138949.422,
2025-04-30,21.73,20.98,21.96,20.98,132805.6,284685.892,
2025-05-06,21.16,21.6,21.68,21.05,81804.31,175403.153,
2025-05-07,21.8,21.75,22.2,21.58,78079.16,170413.896,
2025-05-08,21.68,21.97,22.35,21.65,80653.4,178189.869,
2025-05-09,21.9,21.99,22.15,21.69,64446.72,141441.933,
2025-05-12,22.09,22.23,22.45,21.85,89116.63,197958.19,
2025-05-13,22.18,22.2,22.41,21.75,79351.0,175733.095,
2025-05-14,22.2,22.24,22.31,21.98,56868.0,125876.609,
2025-05-15,22.2,22.28,22.44,21.83,62653.0,138718.685,
2025-05-16,22.28,22.69,22.88,22.23,110464.83,249914.381,
2025-05-19,22.66,22.53,22.79,22.4,70275.35,158615.252,
2025-05-20,22.49,22.87,23.29,22.49,91148.3,209569.962,
2025-05-21,22.76,22.43,23.02,22.35,96092.66,217366.768,
2025-05-22,22.37,22.08,22.52,21.95,78042.0,173204.783,
