date,open,close,high,low,volume,amount,turnover
2025-01-02,4.34,4.29,4.42,4.28,205190,89058769.8,0.8
2025-01-03,4.3,4.23,4.35,4.2,148109,63362040.6,0.58
2025-01-06,4.25,4.25,4.27,4.16,165188,69604031.0,0.64
2025-01-07,4.22,4.24,4.27,4.18,117977,49903036.52,0.46
2025-01-08,4.21,4.15,4.23,4.03,216875,89447874.56,0.84
2025-01-09,4.11,4.14,4.16,4.1,90375,37375499.29,0.35
2025-01-10,4.14,4.09,4.18,4.06,121388,49882128.15,0.47
2025-01-13,4.07,4.08,4.13,4.03,80768,32906424.0,0.31
2025-01-14,4.08,4.2,4.21,4.08,140719,58692438.51,0.55
2025-01-15,4.2,4.23,4.25,4.19,72623,30632369.0,0.28
2025-01-16,4.25,4.28,4.32,4.24,110790,47477117.0,0.43
2025-01-17,4.27,4.36,4.41,4.25,132895,57771510.96,0.52
2025-01-20,4.4,4.36,4.41,4.34,89234,38996052.0,0.35
2025-01-21,4.36,4.37,4.39,4.34,67262,29316587.0,0.26
2025-01-22,4.33,4.38,4.42,4.3,118369,51626015.22,0.46
2025-01-23,4.4,4.46,4.48,4.38,175977,78108330.95,0.68
2025-01-24,4.45,4.45,4.47,4.42,115659,51360388.43,0.45
2025-01-27,4.44,4.51,4.54,4.43,174361,78063338.0,0.68
2025-02-05,4.52,4.5,4.53,4.43,126755,56925949.54,0.49
2025-02-06,4.49,4.5,4.53,4.47,120833,54361882.04,0.47
2025-02-07,4.49,4.54,4.59,4.48,167667,76192250.52,0.65
2025-02-10,4.53,4.64,4.66,4.53,186988,86316582.08,0.73
2025-02-11,4.65,4.64,4.66,4.59,141714,65618792.99,0.55
2025-02-12,4.65,4.59,4.65,4.56,172850,79518310.0,0.67
2025-02-13,4.58,4.52,4.62,4.52,158036,72200985.0,0.61
2025-02-14,4.52,4.52,4.54,4.46,153118,68900832.03,0.59
2025-02-17,4.5,4.49,4.54,4.46,162699,73002181.11,0.63
2025-02-18,4.51,4.45,4.52,4.43,160220,71735896.0,0.62
2025-02-19,4.45,4.48,4.51,4.44,120433,53975409.0,0.47
2025-02-20,4.48,4.49,4.51,4.46,106148,47635466.52,0.41
2025-02-21,4.49,4.49,4.51,4.47,139617,62660156.35,0.54
2025-02-24,4.46,4.42,4.49,4.4,210137,93219303.14,0.82
2025-02-25,4.4,4.44,4.48,4.39,147541,65584189.93,0.57
2025-02-26,4.43,4.48,4.49,4.43,114205,51073342.08,0.44
2025-02-27,4.48,4.56,4.64,4.47,262110,119634257.06,1.02
2025-02-28,4.56,4.5,4.6,4.49,145036,65931910.0,0.56
2025-03-03,4.48,4.53,4.57,4.48,118759,53884849.98,0.46
2025-03-04,4.53,4.52,4.55,4.46,114455,51518881.5,0.44
