date,open,close,high,low,volume,amount,turnover
2025-01-02,9.7,9.4,9.8,9.31,53458,51150003.0,0.43
2025-01-03,9.39,9.16,9.51,9.11,41612,38576855.0,0.34
2025-01-06,9.25,9.0,9.25,8.91,39180,35367319.0,0.32
2025-01-07,9.05,9.12,9.12,8.91,17565,15901984.0,0.14
2025-01-08,9.13,9.1,9.2,8.88,37848,34242718.0,0.31
2025-01-09,9.1,9.08,9.18,8.99,14511,13203410.0,0.12
2025-01-10,9.07,8.91,9.15,8.8,41916,37451395.0,0.34
2025-01-13,8.9,9.05,9.08,8.66,32002,28444690.0,0.26
2025-01-14,9.07,8.98,9.13,8.95,36981,33347832.0,0.3
2025-01-15,9.03,9.05,9.1,8.82,41960,37671923.0,0.34
2025-01-16,9.14,9.48,9.5,9.01,79110,73847306.0,0.64
2025-01-17,9.44,9.4,9.44,9.2,42711,39958939.0,0.35
2025-01-20,9.28,9.56,9.66,9.28,42840,40814213.0,0.35
2025-01-21,9.58,9.59,9.62,9.45,33341,31828905.0,0.27
2025-01-22,9.56,9.73,9.83,9.51,36407,35285682.0,0.3
2025-01-23,9.73,9.65,9.82,9.63,29957,29148536.0,0.24
2025-01-24,9.64,9.73,9.76,9.6,43649,42267699.0,0.35
2025-01-27,9.72,9.43,9.75,9.35,51775,49205930.0,0.43
2025-02-05,9.43,9.13,9.44,8.99,53680,49093958.0,0.45
2025-02-06,9.1,9.27,9.29,9.03,39927,36623421.0,0.33
2025-02-07,9.25,9.73,9.73,9.21,81514,78802315.0,0.68
2025-02-10,9.76,10.22,10.22,9.69,93796,94422559.0,0.79
2025-02-11,10.23,10.24,10.5,10.11,76270,78717830.0,0.64
2025-02-12,10.2,10.2,10.47,10.15,64563,66503836.0,0.54
2025-02-13,10.17,10.28,10.4,10.15,49583,51036773.0,0.42
2025-02-14,10.27,10.3,10.39,10.07,45674,46898980.0,0.38
2025-02-17,10.3,10.67,10.72,10.2,65587,69245984.0,0.55
2025-02-18,10.71,10.43,11.0,10.3,139280,148159295.0,1.17
2025-02-19,10.44,9.91,10.5,9.91,141893,143232591.0,1.19
2025-02-20,9.88,9.98,10.11,9.78,87101,86454499.0,0.73
2025-02-21,9.98,9.48,10.05,9.48,140201,133971666.0,1.17
2025-02-24,9.71,9.62,9.78,9.2,96726,92016948.0,0.81
2025-02-25,9.53,9.18,9.68,9.14,102845,95970426.0,0.86
2025-02-26,9.19,8.94,9.23,8.72,170202,151402589.0,1.43
2025-02-27,8.88,8.98,9.1,8.78,78712,70590553.0,0.66
2025-02-28,9.01,9.04,9.06,8.61,61675,54601484.0,0.52
2025-03-03,8.93,9.01,9.21,8.91,39653,35846774.0,0.33
2025-03-04,8.99,8.97,9.22,8.8,65288,58811577.0,0.55
2025-03-05,8.96,8.73,8.97,8.66,79240,69408424.0,0.66
2025-03-06,8.74,8.29,8.79,8.29,178801,149738490.0,1.5
2025-03-07,8.18,8.25,8.33,8.01,60248,49258109.0,0.5
2025-03-10,8.21,8.31,8.34,8.1,41381,34156037.0,0.35
2025-03-11,8.39,8.43,8.69,8.27,67106,56975200.0,0.56
2025-03-12,8.5,8.38,8.5,8.3,28805,24118824.0,0.24
2025-03-13,8.38,8.34,8.44,8.21,29182,24291120.0,0.24
2025-03-14,8.41,8.49,8.76,8.35,96187,82842643.0,0.81
2025-03-17,8.38,8.07,8.42,8.07,141562,114761759.0,1.19
2025-03-18,8.03,7.67,8.08,7.67,86904,67411898.0,0.73
2025-03-19,7.42,7.45,7.46,7.29,165144,121397063.0,1.38
2025-03-20,7.43,7.6,7.82,7.41,142568,109457459.0,1.19
2025-03-21,7.46,7.53,7.69,7.44,51376,38766742.0,0.43
2025-03-24,7.49,7.4,7.49,7.26,42156,31088961.0,0.35
2025-03-25,7.44,7.63,7.68,7.4,55008,41665498.0,0.46
2025-03-26,7.63,7.58,7.8,7.56,47962,36617725.0,0.4
2025-03-27,7.56,7.45,7.56,7.41,34201,25531609.0,0.29
2025-03-28,7.45,7.42,7.49,7.32,22974,16980736.0,0.19
2025-03-31,7.37,7.25,7.38,7.2,35578,25943896.0,0.3
2025-04-01,7.27,7.25,7.36,7.22,25898,18805257.0,0.22
2025-04-02,7.25,7.3,7.5,7.25,44611,32859115.0,0.37
2025-04-03,7.24,7.14,7.25,7.08,46839,33471511.0,0.39
2025-04-07,6.78,6.78,6.8,6.78,18267,12385621.0,0.15
2025-04-08,6.45,6.44,6.51,6.44,39567,25495616.0,0.33
2025-04-09,6.29,6.27,6.31,6.12,122323,75769914.0,1.03
2025-04-10,6.31,6.57,6.58,6.31,91337,59138653.0,0.77
2025-04-11,6.58,6.69,6.87,6.57,79936,53785690.0,0.67
2025-04-14,6.72,6.88,6.95,6.71,54803,37376980.0,0.46
2025-04-15,6.89,6.88,6.89,6.7,48970,33345015.0,0.41
2025-04-16,6.87,6.78,6.97,6.72,35307,24049635.0,0.3
2025-04-17,6.78,6.83,6.89,6.72,25500,17380912.0,0.21
2025-04-18,6.81,6.72,6.81,6.67,21278,14305192.0,0.18
2025-04-21,6.78,6.98,7.04,6.65,72877,50313258.0,0.61
2025-04-22,6.98,7.33,7.33,6.96,83111,60566864.0,0.7
2025-04-23,7.43,7.7,7.7,7.34,114150,85891716.0,0.96
2025-04-24,7.76,7.64,8.02,7.5,113212,88237573.0,0.95
2025-04-25,7.26,7.26,7.4,7.26,159921,116483125.0,1.34
2025-04-28,7.2,7.5,7.61,7.2,99891,74566746.0,0.84
2025-04-29,7.48,7.26,7.48,7.25,55272,40494117.0,0.46
2025-04-30,7.23,7.26,7.31,7.02,40426,29153238.0,0.34
2025-05-06,7.27,7.25,7.29,7.12,57688,41436586.0,0.48
2025-05-07,7.31,7.28,7.41,7.2,51171,37452110.0,0.43
2025-05-08,7.26,7.32,7.35,7.2,40846,29860904.0,0.34
2025-05-09,7.33,7.2,7.39,7.16,34414,24958538.0,0.29
2025-05-12,7.26,7.32,7.38,7.17,55906,40546417.0,0.47
2025-05-13,7.31,7.23,7.35,7.22,30680,22251113.0,0.26
2025-05-14,7.23,7.23,7.29,7.15,32712,23583446.0,0.27
2025-05-15,7.25,7.24,7.38,7.22,40946,29884704.0,0.34
2025-05-16,7.25,7.17,7.26,7.13,30417,21863952.0,0.25
2025-05-19,7.23,7.33,7.36,7.21,43377,31642506.0,0.36
2025-05-20,7.29,7.32,7.36,7.27,34062,24901263.0,0.29
2025-05-21,7.35,7.61,7.62,7.3,60906,45713829.0,0.51
2025-05-22,7.62,7.32,7.63,7.32,57569,42855921.0,0.48
2025-05-23,7.3,7.28,7.42,7.25,45030,32932610.0,0.38
2025-05-26,7.29,7.17,7.29,7.15,48548,34987951.0,0.41
2025-05-27,7.18,7.15,7.19,7.12,21142,15110381.0,0.18
2025-05-28,7.16,7.0,7.19,7.0,46119,32639292.0,0.39
2025-05-29,6.97,6.96,7.02,6.73,59088,40795438.0,0.5
2025-05-30,6.96,6.82,6.96,6.78,29591,20265799.0,0.25
2025-06-03,6.83,7.0,7.11,6.76,35337,24549540.0,0.3
2025-06-04,7.02,7.29,7.35,7.01,62282,44973831.0,0.52
2025-06-05,7.32,7.4,7.47,7.3,55224,40906025.0,0.46
2025-06-06,7.41,7.45,7.54,7.36,61106,45521766.0,0.51
2025-06-09,7.46,7.5,7.56,7.39,58225,43533589.0,0.49
2025-06-10,7.48,7.45,7.55,7.38,48646,36314517.0,0.41
2025-06-11,7.43,7.62,7.64,7.42,57641,43593110.0,0.48
2025-06-12,7.66,7.5,7.68,7.42,71967,54202582.0,0.6
2025-06-13,7.46,7.49,7.64,7.42,46758,35096138.0,0.39
2025-06-16,7.49,7.6,7.62,7.38,50918,38293789.0,0.43
2025-06-17,7.61,7.94,7.94,7.6,96041,75216546.0,0.8
2025-06-18,7.95,7.75,8.16,7.74,153115,121595096.0,1.28
2025-06-19,7.81,7.48,7.87,7.37,129327,97705946.0,1.08
2025-06-20,7.5,7.39,7.59,7.36,56093,41763083.0,0.47
2025-06-23,7.3,7.51,7.52,7.25,47406,35194202.0,0.4
2025-06-24,7.51,7.6,7.65,7.48,48506,36773159.0,0.41
2025-06-25,7.64,7.61,7.64,7.55,41254,31305482.0,0.35
2025-06-26,7.57,7.45,7.59,7.44,56436,42412176.0,0.47
2025-06-27,7.44,7.68,7.69,7.44,75906,57588008.0,0.64
2025-06-30,7.81,7.73,7.92,7.66,87680,68010382.0,0.73
2025-07-01,7.7,7.84,7.86,7.64,78517,60969928.0,0.66
2025-07-02,7.87,7.82,7.92,7.78,72245,56733597.0,0.61
