date,open,close,high,low,volume,amount,turnover
2025-01-02,77.85,81.1,84.48,74.9,96673,786074981.0,25.51
2025-01-03,82.89,77.8,86.41,77.8,99892,829656709.0,26.36
2025-01-06,77.17,74.21,80.83,71.35,105804,804701835.0,27.92
2025-01-07,74.2,76.8,77.57,72.46,98334,741731460.0,25.95
2025-01-08,74.99,82.8,84.58,73.99,128773,1018999830.0,33.98
2025-01-09,80.8,80.02,84.8,79.48,108977,892974081.0,28.76
2025-01-10,77.99,73.65,80.4,73.65,96051,739258695.0,25.35
2025-01-13,69.5,69.28,71.92,68.11,80495,562857894.0,21.24
2025-01-14,70.18,72.8,73.23,68.21,78405,559322942.0,20.69
2025-01-15,71.99,72.89,77.42,71.5,105760,787581847.0,27.91
2025-01-16,73.13,69.57,74.23,68.8,89045,634817601.0,23.5
2025-01-17,68.75,73.47,74.8,68.08,102158,731891136.0,26.96
2025-01-20,73.48,75.53,76.2,71.63,88987,663337190.0,23.48
2025-01-21,77.3,79.67,82.8,76.7,121775,970857220.0,32.13
2025-01-22,75.83,80.51,83.79,75.16,117579,931152109.0,31.03
2025-01-23,79.8,77.32,82.27,77.06,88274,702481391.0,23.29
2025-01-24,76.28,79.7,80.8,75.99,81325,643468860.0,21.46
2025-01-27,78.8,81.2,86.21,77.3,113090,939404745.0,29.84
2025-02-05,81.8,71.56,82.1,68.78,116590,876519162.0,30.77
2025-02-06,71.03,75.8,76.68,71.0,99563,746161362.0,26.27
2025-02-07,75.3,74.0,78.29,72.52,110823,837156888.0,29.24
2025-02-10,74.02,88.84,88.84,71.81,107315,864074981.0,28.32
2025-02-11,94.0,89.08,97.74,87.79,203433,1904924012.0,53.68
2025-02-12,87.29,87.99,90.98,83.91,125934,1092482411.0,33.23
2025-02-13,86.3,82.3,86.76,81.4,105521,876477569.0,27.85
2025-02-14,80.8,81.4,82.2,79.84,62527,507169371.0,16.5
2025-02-17,80.48,81.6,82.49,80.31,66014,539258468.0,17.42
2025-02-18,81.6,83.0,86.2,80.26,99184,832080047.0,26.17
2025-02-19,80.8,86.04,86.5,79.91,99574,843067485.0,26.28
2025-02-20,89.8,84.66,92.81,84.61,135674,1215963565.0,35.8
2025-02-21,84.69,86.06,88.68,81.11,110520,932033566.0,29.16
2025-02-24,83.93,82.81,85.16,81.6,76801,640977696.0,20.27
2025-02-25,80.79,82.15,84.65,80.3,59782,494710623.0,15.78
2025-02-26,82.0,84.15,85.16,82.0,62116,519420923.0,16.39
2025-02-27,84.8,80.72,84.8,79.3,55202,451565706.0,14.57
2025-02-28,78.58,73.45,79.58,73.01,56814,430181645.0,14.99
2025-03-03,73.85,72.39,74.48,71.53,33819,246853908.0,8.92
2025-03-04,70.35,74.67,77.06,70.32,44572,331817299.0,11.76
2025-03-05,74.05,74.5,76.0,73.06,33311,248181212.0,8.79
2025-03-06,74.97,77.07,77.78,74.5,48520,372163243.0,12.8
2025-03-07,75.81,75.78,77.41,75.13,37963,290039697.0,10.02
2025-03-10,75.79,74.75,76.07,73.35,27609,205928905.0,7.29
2025-03-11,73.28,75.6,76.4,72.81,32473,245325795.0,8.57
2025-03-12,76.2,73.9,76.33,73.85,35617,268325362.0,9.4
2025-03-13,73.38,71.16,73.84,70.3,32370,232725803.0,8.54
2025-03-14,71.15,72.29,72.68,70.77,24638,177908131.0,6.5
2025-03-17,72.06,71.93,72.38,71.3,20965,151106438.0,5.53
2025-03-18,72.0,74.22,76.06,71.47,40345,299143734.0,10.65
2025-03-19,73.4,73.92,76.68,73.3,39902,301019745.0,10.53
2025-03-20,73.33,73.93,76.3,73.1,36361,272804640.0,9.6
2025-03-21,73.8,68.88,73.93,68.88,39404,277692341.0,10.4
2025-03-24,68.68,67.51,70.28,65.2,34730,234875956.0,9.16
2025-03-25,67.29,63.6,67.38,63.53,34455,224516571.0,9.09
2025-03-26,63.6,64.49,66.2,63.6,25605,167168044.0,6.76
2025-03-27,64.39,64.67,66.06,63.6,22893,148761956.0,6.04
2025-03-28,62.65,58.95,62.79,57.38,114313,684063411.0,6.13
2025-03-31,57.8,58.84,59.08,56.69,55462,322429685.0,2.97
2025-04-01,59.0,58.3,59.64,58.1,36888,217477410.0,1.98
2025-04-02,58.26,58.43,59.46,57.97,37188,218791539.0,1.99
2025-04-03,57.76,57.83,59.46,57.41,30185,176703050.0,1.62
2025-04-07,52.82,47.8,54.79,46.22,55968,281303496.0,3.0
2025-04-08,48.52,50.95,51.7,48.52,63207,321033043.0,3.39
2025-04-09,50.8,52.11,52.79,47.68,61693,316614861.0,3.31
2025-04-10,53.8,53.69,55.48,53.17,52580,286376174.0,2.82
2025-04-11,52.81,55.0,57.0,52.69,76690,426116243.0,4.11
2025-04-14,56.36,56.35,57.08,55.3,59603,336603870.0,3.19
2025-04-15,55.96,55.31,56.5,54.94,38953,216755832.0,2.09
2025-04-16,54.74,54.73,55.79,53.8,37607,206668964.0,2.02
2025-04-17,54.04,54.22,55.4,54.04,35498,195234827.0,1.9
2025-04-18,53.91,53.83,54.79,53.33,27619,149270569.0,1.48
2025-04-21,53.65,55.87,56.0,53.14,51045,281648797.0,2.74
2025-04-22,55.81,55.38,56.48,55.21,33107,184910959.0,1.77
2025-04-23,55.89,56.7,57.05,55.69,49401,279316892.0,2.65
2025-04-24,56.59,55.73,57.1,55.5,44662,252097735.0,2.39
2025-04-25,55.55,55.8,56.22,55.27,36325,203442459.0,1.95
2025-04-28,55.57,55.03,55.95,54.81,26606,147595015.0,1.43
2025-04-29,54.5,55.94,56.28,54.17,33980,189728448.0,1.82
2025-04-30,56.65,58.35,59.3,56.19,69530,405172346.0,3.73
2025-05-06,58.99,59.91,60.42,58.99,80614,481647522.0,4.32
2025-05-07,61.24,59.11,61.68,58.45,59943,358060497.0,3.21
2025-05-08,59.39,59.85,60.15,58.86,50215,300823830.0,2.69
2025-05-09,59.7,57.8,59.7,57.37,44125,257595604.0,2.36
2025-05-12,58.33,58.63,58.75,57.79,44360,259233175.0,2.38
2025-05-13,59.38,59.19,60.58,58.38,78402,467433058.0,4.2
2025-05-14,58.84,58.56,59.72,57.95,57333,337882643.0,3.07
2025-05-15,58.6,56.82,58.6,56.82,41909,240814200.0,2.25
2025-05-16,56.9,56.3,57.38,56.19,32469,185139795.0,1.74
2025-05-19,56.0,55.85,56.6,54.81,36343,202831492.0,1.95
2025-05-20,55.6,55.9,56.28,55.33,30573,171137141.0,1.64
2025-05-21,55.68,54.65,55.73,54.62,27573,151498483.0,1.48
2025-05-22,54.9,55.13,57.05,54.57,49277,275297499.0,2.64
2025-05-23,55.4,53.31,55.4,53.3,37682,204301899.0,2.02
2025-05-26,53.29,63.97,63.97,53.0,221340,1326901393.0,11.86
2025-05-27,63.97,61.67,64.3,60.96,205163,1275743350.0,11.0
2025-05-28,62.6,61.72,66.44,60.88,181563,1144585086.0,9.73
2025-05-29,61.52,61.72,62.6,60.27,123433,761146623.0,6.62
2025-05-30,61.2,59.83,61.52,58.8,93176,559051525.0,4.99
2025-06-03,59.96,60.75,63.99,59.63,127819,791281762.0,6.85
2025-06-04,60.51,61.37,62.31,60.25,80396,492995464.0,4.31
2025-06-05,61.33,63.81,64.79,60.65,161662,1023056973.0,8.66
2025-06-06,64.05,66.41,69.6,62.8,213971,1409967537.0,11.47
2025-06-09,62.61,64.36,65.69,62.24,162979,1040231166.0,8.73
2025-06-10,64.0,61.96,64.34,60.88,130642,811071307.0,7.0
2025-06-11,61.88,61.53,61.88,60.88,69690,428237889.0,3.73
2025-06-12,61.5,61.12,62.58,60.39,84803,518856905.0,4.54
2025-06-13,60.4,62.98,64.0,60.29,227013,1422456460.0,12.17
