date,open,close,high,low,volume,amount,turnover
2025-01-02,7.36,7.44,7.86,7.29,784200,589006457.0,3.92
2025-01-03,7.36,6.9,7.47,6.85,723302,515046817.0,3.62
2025-01-06,6.86,6.85,7.04,6.7,413016,283812561.0,2.07
2025-01-07,6.89,7.04,7.06,6.85,375968,261598916.0,1.88
2025-01-08,6.98,6.88,6.99,6.67,508737,347522915.0,2.54
2025-01-09,6.8,6.83,6.91,6.78,261420,179343680.0,1.31
2025-01-10,6.88,6.57,6.89,6.51,337372,227425796.0,1.69
2025-01-13,6.51,6.56,6.59,6.41,222631,145031707.0,1.11
2025-01-14,6.58,6.86,6.9,6.56,499456,338401280.0,2.5
2025-01-15,6.84,6.77,6.9,6.75,248959,169143575.0,1.24
2025-01-16,6.8,6.9,7.0,6.78,337313,232554777.0,1.69
2025-01-17,6.86,6.97,7.18,6.78,472165,328973663.0,2.36
2025-01-20,6.96,6.94,7.03,6.89,336230,234103299.0,1.68
2025-01-21,6.98,7.24,7.24,6.93,494742,349551636.0,2.47
2025-01-22,7.16,7.21,7.34,7.11,416564,300949524.0,2.08
2025-01-23,7.25,6.92,7.3,6.9,609059,433772728.0,3.05
2025-01-24,6.92,6.88,6.95,6.79,365997,251723404.0,1.83
2025-01-27,6.91,6.65,6.98,6.65,309871,210616354.0,1.55
2025-02-05,6.68,6.76,6.81,6.67,264601,178558628.0,1.32
2025-02-06,6.72,7.02,7.03,6.67,406177,279638916.0,2.03
2025-02-07,7.01,7.3,7.54,6.97,783906,567821665.0,3.92
2025-02-10,8.03,8.03,8.03,8.03,160003,128482409.0,0.8
2025-02-11,8.67,7.9,8.67,7.82,2535732,2114596937.0,12.68
2025-02-12,7.65,8.1,8.2,7.65,1349741,1074301169.0,6.75
2025-02-13,8.06,8.07,8.27,7.84,1224903,982517089.0,6.12
2025-02-14,8.0,7.97,8.31,7.91,972539,787627962.0,4.86
2025-02-17,7.97,7.8,7.99,7.71,775353,605099051.0,3.88
2025-02-18,7.76,7.58,7.8,7.51,637089,486818057.0,3.19
2025-02-19,7.51,7.6,7.69,7.51,502188,381625094.0,2.51
2025-02-20,7.71,7.66,7.78,7.63,534149,411692702.0,2.67
2025-02-21,7.65,7.63,7.66,7.5,569094,431509919.0,2.85
2025-02-24,7.58,7.57,7.67,7.53,408330,309961761.0,2.04
2025-02-25,7.5,7.59,7.75,7.45,471178,358450095.0,2.36
2025-02-26,7.58,7.61,7.62,7.54,399562,303051377.0,2.0
2025-02-27,7.61,7.69,7.75,7.55,561890,430396049.0,2.81
2025-02-28,7.68,7.38,7.68,7.36,466142,348576611.0,2.33
2025-03-03,7.42,7.4,7.51,7.34,303379,225324362.0,1.52
2025-03-04,7.33,7.39,7.4,7.27,270012,198215754.0,1.35
2025-03-05,7.36,7.37,7.43,7.3,228739,168086664.0,1.14
2025-03-06,7.42,7.45,7.49,7.39,316994,236013564.0,1.58
2025-03-07,7.44,7.56,7.71,7.34,606769,457053235.0,3.03
2025-03-10,7.5,7.41,7.54,7.37,310196,230613224.0,1.55
2025-03-11,7.34,7.33,7.37,7.26,264943,193661308.0,1.32
2025-03-12,7.39,7.42,7.48,7.38,324144,241156249.0,1.62
2025-03-13,7.41,7.32,7.42,7.26,278284,203354860.0,1.39
2025-03-14,7.31,7.42,7.42,7.28,294454,217187237.0,1.47
2025-03-17,7.43,7.4,7.47,7.38,226767,168221470.0,1.13
2025-03-18,7.41,7.45,7.45,7.38,220417,163593126.0,1.1
2025-03-19,7.46,7.5,7.6,7.44,446152,335501501.0,2.23
2025-03-20,7.45,7.7,7.77,7.41,762332,581887681.0,3.81
2025-03-21,7.65,7.43,7.66,7.41,486915,366067285.0,2.43
2025-03-24,7.4,7.3,7.59,7.18,401222,294111954.0,2.01
2025-03-25,7.29,7.19,7.3,7.15,239668,172693125.0,1.2
2025-03-26,7.18,7.34,7.46,7.16,288465,211517370.0,1.44
2025-03-27,7.27,7.24,7.35,7.21,221763,161290980.0,1.11
2025-03-28,7.22,7.43,7.72,7.21,557811,417686816.0,2.79
2025-03-31,7.75,7.71,7.98,7.64,1201497,936680411.0,6.01
2025-04-01,7.56,7.82,8.0,7.55,1061275,832106560.0,5.31
2025-04-02,7.73,7.77,8.05,7.53,811864,629749689.0,4.06
2025-04-03,7.65,7.52,7.75,7.47,563311,427906671.0,2.82
2025-04-07,7.04,6.77,7.05,6.77,488308,334201764.0,2.44
2025-04-08,6.68,6.89,6.99,6.48,696913,467332687.0,3.48
2025-04-09,6.69,6.83,6.93,6.4,566770,380789086.0,2.83
2025-04-10,6.91,6.91,7.07,6.88,479937,334641938.0,2.4
2025-04-11,6.83,6.92,6.97,6.82,349582,241768229.0,1.75
2025-04-14,7.1,7.13,7.21,7.01,474209,338120328.0,2.37
2025-04-15,7.13,7.01,7.14,6.98,314048,220857092.0,1.57
2025-04-16,6.99,6.96,7.02,6.84,239052,165809581.0,1.2
2025-04-17,6.9,7.0,7.13,6.9,270864,190437832.0,1.35
2025-04-18,6.96,6.96,7.0,6.88,197058,136467847.0,0.99
2025-04-21,6.96,7.0,7.02,6.9,186970,130746090.0,0.93
2025-04-22,6.97,6.99,7.1,6.97,189707,133184334.0,0.95
2025-04-23,7.03,7.13,7.17,7.03,393244,278999344.0,1.97
2025-04-24,7.12,7.06,7.25,7.06,315103,224561680.0,1.58
2025-04-25,7.07,7.08,7.15,7.04,246110,174836441.0,1.23
2025-04-28,7.05,6.88,7.05,6.87,267111,185205296.0,1.34
2025-04-29,6.88,6.91,6.94,6.84,138268,95562583.0,0.69
2025-04-30,6.93,7.02,7.04,6.92,205895,144184775.0,1.03
2025-05-06,7.05,7.1,7.12,7.04,232005,164484318.0,1.16
2025-05-07,7.16,7.2,7.23,7.1,416437,298475378.0,2.08
2025-05-08,7.15,7.18,7.2,7.13,260537,186915441.0,1.3
