date,open,close,high,low,volume,amount,turnover
2025-01-02,46.2,42.34,46.36,42.1,215372,954538487.0,57.93
2025-01-03,42.45,36.13,43.06,35.5,172464,671461478.0,46.39
2025-01-06,34.52,33.98,35.04,33.13,111211,380982213.0,29.91
2025-01-07,33.9,35.37,35.45,33.46,113603,396173335.0,30.55
2025-01-08,34.7,34.47,35.4,32.61,106213,366019624.0,28.57
2025-01-09,34.47,35.31,36.8,34.29,110687,396961648.0,29.77
2025-01-10,34.7,32.52,35.39,32.36,92125,315302781.0,24.78
2025-01-13,31.92,31.7,32.5,30.92,53734,171648435.0,14.45
2025-01-14,32.43,34.17,34.19,32.03,79904,268864115.0,21.49
2025-01-15,34.17,34.48,35.6,33.86,84919,296537473.0,22.84
2025-01-16,34.63,33.89,35.22,33.6,75529,261270494.0,20.31
2025-01-17,33.6,33.36,33.86,32.75,53178,178720342.0,14.3
2025-01-20,33.6,34.6,35.0,33.31,69202,240152245.0,18.61
2025-01-21,34.7,35.23,35.32,34.4,61625,216807060.0,16.57
2025-01-22,37.7,38.02,41.59,36.92,187076,736190833.0,50.32
2025-01-23,39.84,38.38,41.5,38.33,176149,706780923.0,47.38
2025-01-24,38.01,39.81,40.98,38.01,136105,544643183.0,36.61
2025-01-27,38.98,37.39,39.43,36.9,101468,387521554.0,27.29
2025-02-05,36.6,37.51,37.79,35.7,95684,356590842.0,25.74
2025-02-06,37.31,38.12,38.25,37.01,97505,370738160.0,26.23
2025-02-07,38.61,39.47,40.01,38.55,145675,577696282.0,39.18
2025-02-10,38.83,39.31,40.0,38.47,91401,360981626.0,24.58
2025-02-11,38.91,40.66,40.78,38.42,117641,472658043.0,31.64
2025-02-12,41.5,40.42,42.9,39.7,135872,567619566.0,36.54
2025-02-13,40.27,41.69,41.9,39.51,123509,508463228.0,33.22
2025-02-14,40.7,40.09,40.77,39.02,94370,380704781.0,25.38
2025-02-17,41.88,41.84,43.09,41.05,123587,522299437.0,33.24
2025-02-18,41.15,40.71,42.67,40.59,100896,422196302.0,27.14
2025-02-19,40.49,40.75,41.7,40.2,87815,360038876.0,23.62
2025-02-20,40.31,40.55,40.9,39.16,81790,330470412.0,22.0
2025-02-21,43.2,48.72,48.72,43.2,103263,489815737.0,27.77
2025-02-24,50.95,57.8,58.52,49.86,236236,1298787467.0,63.54
2025-02-25,52.61,54.22,55.4,51.9,151389,815327861.0,40.72
2025-02-26,53.2,56.02,56.74,51.7,136686,745115084.0,36.76
2025-02-27,54.7,53.55,56.76,51.79,107674,588126174.0,28.96
2025-02-28,51.63,47.41,52.25,47.04,104488,517943456.0,28.1
2025-03-03,47.5,45.79,48.17,45.22,67510,314296910.0,18.16
2025-03-04,44.79,47.05,47.45,44.79,49641,232551921.0,13.35
2025-03-05,47.48,47.92,48.2,46.3,61718,295196529.0,16.6
2025-03-06,49.7,50.2,50.68,49.0,79282,399115525.0,21.32
2025-03-07,50.04,48.2,50.13,47.63,67586,330557351.0,18.18
2025-03-10,47.59,49.21,49.9,47.2,53416,261935330.0,14.37
2025-03-11,48.18,49.7,49.71,47.73,46352,226029175.0,12.47
2025-03-12,51.01,50.2,52.47,49.75,96048,494870365.0,25.83
2025-03-13,49.77,48.2,50.88,47.2,67436,332317066.0,18.14
2025-03-14,47.87,48.83,49.24,46.6,50175,242016131.0,13.5
2025-03-17,48.62,50.35,50.7,47.48,58383,291223026.0,15.7
2025-03-18,50.09,50.76,51.57,49.96,51475,262362684.0,13.84
2025-03-19,50.54,50.48,52.28,48.2,68839,346834656.0,18.52
2025-03-20,49.7,49.3,51.19,48.49,47443,237417366.0,12.76
2025-03-21,48.7,46.6,49.01,46.6,40073,191479161.0,10.78
2025-03-24,46.6,45.54,47.3,43.9,37568,171854632.0,10.1
2025-03-25,45.52,43.79,45.98,43.65,28769,128839428.0,7.74
2025-03-26,43.9,44.2,44.67,43.7,19973,88939509.0,5.37
2025-03-27,43.92,43.85,44.55,43.31,16924,74965928.0,4.55
2025-03-28,44.58,43.4,45.31,43.33,26427,117495172.0,7.11
2025-03-31,43.2,43.2,44.53,42.3,38421,167614727.0,10.33
2025-04-01,43.5,43.12,43.9,42.82,22560,98406426.0,6.07
2025-04-02,43.11,43.44,44.08,42.87,20339,89314353.0,5.47
2025-04-03,42.67,41.7,43.37,41.41,26681,113631538.0,7.18
2025-04-07,36.7,33.3,38.7,33.3,36637,130660876.0,9.85
2025-04-08,33.7,33.85,35.36,32.26,41270,141411245.0,11.1
2025-04-09,33.2,34.9,35.17,30.45,40500,136050543.0,10.89
2025-04-10,36.75,36.3,37.58,36.21,37038,137756768.0,9.96
2025-04-11,35.72,36.86,37.39,35.72,25768,95516014.0,6.93
2025-04-14,37.68,37.59,38.38,37.27,26311,99961846.0,7.08
2025-04-15,37.58,37.49,37.9,37.07,18676,70474848.0,5.02
2025-04-16,37.29,36.45,37.63,35.58,21300,78461022.0,5.73
2025-04-17,36.28,36.26,36.98,35.98,14679,54284278.0,3.95
2025-04-18,36.25,37.22,39.57,35.9,42304,160077695.0,11.38
2025-04-21,37.38,38.3,38.44,37.15,39659,151567965.0,10.67
2025-04-22,38.17,37.96,38.4,37.8,26176,100367245.0,7.04
2025-04-23,38.7,39.47,39.99,38.14,37114,146079548.0,9.98
