date,open,close,high,low,volume,amount,turnover
2025-01-02,40.91,40.19,41.4,40.0,189214,772162724.0,0.71
2025-01-03,40.18,39.1,40.34,38.79,170024,671061914.0,0.64
2025-01-06,38.88,38.14,39.17,37.76,147557,566098054.0,0.55
2025-01-07,38.17,38.46,38.5,37.82,87911,337431011.0,0.33
2025-01-08,38.2,37.61,38.36,36.9,151493,571895333.0,0.57
2025-01-09,37.56,38.8,39.26,37.21,175239,673713962.0,0.66
2025-01-10,38.85,38.48,39.68,38.48,110985,434433392.0,0.42
2025-01-13,37.9,38.67,39.12,37.78,95156,368031178.0,0.36
2025-01-14,38.59,38.99,39.19,38.37,211121,823258371.0,0.79
2025-01-15,38.9,38.45,39.05,38.23,102249,395985266.0,0.38
2025-01-16,38.49,38.16,38.96,38.0,103624,399688117.0,0.39
2025-01-17,37.99,38.87,39.27,37.99,148503,575845180.0,0.56
2025-01-20,38.83,38.77,39.3,38.74,121227,474260032.0,0.45
2025-01-21,38.88,37.93,38.89,37.78,118697,454556711.0,0.45
2025-01-22,37.9,37.51,37.9,37.18,108820,407895872.0,0.41
2025-01-23,37.72,37.14,38.09,37.1,117854,442714852.0,0.44
2025-01-24,37.11,37.23,37.45,36.96,81242,303175934.0,0.3
2025-01-27,37.23,37.24,37.76,37.22,81348,305886836.0,0.31
2025-02-05,37.35,37.84,38.0,37.14,105415,398532129.0,0.4
2025-02-06,37.87,38.93,38.95,37.56,133343,515255934.0,0.5
2025-02-07,38.97,38.73,39.08,38.4,134499,523346107.0,0.5
2025-02-10,38.72,38.68,38.88,38.49,98616,382639193.0,0.37
2025-02-11,38.68,38.18,38.77,37.9,127261,486746999.0,0.48
2025-02-12,38.02,38.3,38.32,37.9,80724,308549071.0,0.3
2025-02-13,38.38,39.0,39.69,38.31,251859,988250972.0,0.95
2025-02-14,38.9,38.4,39.2,38.2,139454,538153475.0,0.52
2025-02-17,38.41,37.6,38.45,37.2,308365,1161979198.0,1.16
2025-02-18,37.58,36.75,37.62,36.65,221651,824288253.0,0.83
2025-02-19,36.5,36.9,37.05,36.5,146499,540035790.0,0.55
2025-02-20,36.9,36.9,37.14,36.32,147381,544017878.0,0.55
2025-02-21,36.75,36.76,36.98,36.7,197652,729876573.0,0.74
2025-02-24,36.78,36.79,37.24,36.42,180553,667022624.0,0.68
2025-02-25,36.51,36.0,36.6,35.78,264821,959209569.0,0.99
2025-02-26,36.02,36.0,36.37,35.8,188791,681552667.0,0.71
2025-02-27,36.09,35.66,36.15,35.4,172415,616857317.0,0.65
2025-02-28,35.72,35.02,36.0,35.02,205886,731878465.0,0.77
2025-03-03,35.05,35.28,35.78,35.05,153538,546060008.0,0.58
2025-03-04,35.65,35.91,36.25,35.42,248500,896075617.0,0.93
2025-03-05,36.1,35.9,36.25,35.61,142738,513865150.0,0.54
2025-03-06,35.92,35.98,36.13,35.57,208302,748578141.0,0.78
2025-03-07,35.9,37.81,39.19,35.8,674209,2548949345.0,2.53
2025-03-10,37.81,37.86,38.52,37.6,315853,1204503311.0,1.19
2025-03-11,37.47,38.6,38.86,37.4,343856,1322676814.0,1.29
2025-03-12,38.81,38.24,39.15,38.19,259335,1002523157.0,0.97
2025-03-13,38.25,38.57,39.18,37.81,325406,1257378602.0,1.22
2025-03-14,38.7,38.51,38.76,37.79,265863,1020795095.0,1.0
2025-03-17,38.5,38.26,38.87,38.21,161794,623502276.0,0.61
2025-03-18,38.23,38.03,38.36,37.85,135399,516638635.0,0.51
2025-03-19,37.92,37.9,37.97,37.57,165731,627235178.0,0.62
2025-03-20,37.9,37.73,38.56,37.58,195372,743759282.0,0.73
2025-03-21,37.61,37.44,38.23,37.24,178251,673956346.0,0.67
2025-03-24,37.4,37.09,37.59,36.53,188280,697891481.0,0.71
2025-03-25,37.03,36.76,37.46,36.73,146684,545126110.0,0.55
2025-03-26,36.79,36.81,37.09,36.6,108805,401916616.0,0.41
2025-03-27,36.75,36.6,36.94,36.1,105171,385383865.0,0.39
2025-03-28,36.59,36.49,36.75,36.33,88609,324369881.0,0.33
2025-03-31,36.38,36.11,36.42,35.5,200293,720971222.0,0.75
2025-04-01,36.32,36.67,37.1,36.28,153246,563167937.0,0.58
2025-04-02,35.46,32.99,35.46,32.99,982399,3271645400.0,3.69
2025-04-03,32.43,32.59,32.97,32.31,338304,1106997344.0,1.27
2025-04-07,31.15,31.6,32.77,29.9,482779,1532441075.0,1.81
2025-04-08,31.58,32.51,32.62,31.55,324490,1040243360.0,1.22
2025-04-09,32.1,34.2,34.57,31.9,492822,1661369190.0,1.85
2025-04-10,34.32,34.26,34.45,33.48,341847,1169669555.0,1.28
2025-04-11,34.38,34.08,34.54,33.95,210760,722860390.0,0.79
2025-04-14,33.93,34.28,34.7,33.91,214620,738248842.0,0.81
2025-04-15,34.29,33.61,34.36,33.24,179889,605720289.0,0.67
2025-04-16,34.8,34.07,34.93,33.5,244112,832482037.0,0.92
2025-04-17,33.76,34.2,34.48,33.59,198123,679243699.0,0.74
2025-04-18,33.95,33.89,34.13,33.66,106391,361263944.0,0.4
2025-04-21,33.9,34.13,34.79,33.9,180572,621106074.0,0.68
2025-04-22,34.02,34.11,34.5,33.88,130144,446273638.0,0.49
2025-04-23,34.11,33.66,34.11,33.4,167932,566961079.0,0.63
2025-04-24,33.6,33.1,33.6,33.01,140455,468419173.0,0.53
2025-04-25,33.12,33.31,33.48,32.78,117087,388953800.0,0.44
2025-04-28,33.28,32.68,33.28,32.5,150904,496565653.0,0.57
2025-04-29,32.5,32.67,32.77,32.23,129183,421412019.0,0.48
2025-04-30,32.2,32.7,32.76,32.03,137496,449204903.0,0.52
2025-05-06,32.89,33.17,33.18,32.78,120132,398495770.0,0.45
2025-05-07,33.9,34.34,35.02,33.43,437954,1502849196.0,1.64
2025-05-08,34.38,35.08,35.25,33.78,441693,1534049131.0,1.66
2025-05-09,34.92,34.1,34.92,34.0,252131,866790076.0,0.95
2025-05-12,34.28,35.8,36.61,33.99,638138,2281777438.0,2.39
2025-05-13,35.84,34.66,35.84,34.62,325182,1143596641.0,1.22
2025-05-14,34.67,34.37,34.99,34.25,181274,626113944.0,0.68
2025-05-15,34.3,34.01,34.67,33.96,151480,519949270.0,0.57
2025-05-16,34.03,33.69,34.55,33.56,198850,677302939.0,0.75
2025-05-19,33.89,34.01,34.15,33.59,138763,472477087.0,0.52
2025-05-20,34.01,33.96,34.08,33.6,114753,389350714.0,0.43
2025-05-21,33.98,34.18,34.59,33.76,150057,514971860.0,0.56
2025-05-22,34.09,33.9,34.62,33.85,144220,494533655.0,0.54
2025-05-23,33.76,33.8,34.27,33.7,122436,417588002.0,0.46
2025-05-26,33.77,33.93,34.04,33.6,71988,244677570.0,0.27
2025-05-27,33.86,33.61,33.9,33.41,90416,304755392.0,0.34
2025-05-28,33.61,33.57,33.94,33.51,71547,241787631.0,0.27
2025-05-29,33.6,34.92,35.45,33.39,307732,1063003413.0,1.15
2025-05-30,35.1,35.36,36.14,35.1,432297,1545304019.0,1.62
2025-06-03,35.94,35.38,36.52,35.05,372843,1334636778.0,1.4
2025-06-04,35.21,35.0,35.34,34.78,204821,718781531.0,0.77
2025-06-05,34.99,35.23,35.74,34.58,258428,911776003.0,0.97
2025-06-06,35.36,35.15,35.78,35.07,181356,643131959.0,0.68
2025-06-09,35.5,35.82,36.44,35.45,349035,1258779055.0,1.31
2025-06-10,35.52,35.23,35.63,34.98,165613,586376574.0,0.62
2025-06-11,35.38,35.8,35.89,35.05,157050,560368053.0,0.59
2025-06-12,35.67,35.94,36.05,35.5,168683,606317434.0,0.63
2025-06-13,36.19,36.05,36.38,35.7,245232,885425066.0,0.92
2025-06-16,35.91,35.64,36.05,35.48,161140,577750472.0,0.6
2025-06-17,35.65,35.51,35.82,35.25,145422,517353665.0,0.55
2025-06-18,35.49,35.61,35.78,35.33,162442,578856894.0,0.61
2025-06-19,35.38,35.18,35.38,34.85,179693,632413148.0,0.67
2025-06-20,35.17,34.7,35.2,34.65,91556,320276914.0,0.34
2025-06-23,34.7,34.95,35.13,34.58,99377,347372143.0,0.37
2025-06-24,34.77,35.16,35.51,34.36,241373,842884470.0,0.91
2025-06-25,35.16,36.24,36.46,35.04,356298,1284835128.0,1.34
2025-06-26,36.26,36.12,36.88,36.1,312204,1143831487.0,1.17
2025-06-27,36.27,36.36,36.85,36.16,201493,735203122.0,0.76
2025-06-30,36.66,38.54,38.88,36.51,575972,2198435511.0,2.16
2025-07-01,38.54,38.0,38.55,37.75,267529,1016031302.0,1.0
2025-07-02,37.99,37.3,37.99,37.17,197471,739640614.0,0.74
2025-07-03,37.15,37.21,37.66,37.1,139682,520411682.0,0.52
2025-07-04,37.29,37.27,37.68,37.12,183994,686660873.0,0.69
2025-07-07,37.16,37.2,37.64,36.83,184412,688029371.0,0.69
2025-07-08,37.2,37.37,37.49,37.0,170718,634401415.0,0.64
2025-07-09,37.48,36.82,37.76,36.75,250685,935053589.0,0.94
2025-07-10,36.6,36.7,36.86,36.39,191876,702084229.0,0.72
2025-07-11,36.71,37.06,37.39,36.6,190222,706240762.0,0.71
2025-07-14,37.07,36.65,37.35,36.63,161983,597666541.0,0.61
2025-07-15,36.42,36.8,36.8,36.21,188476,687726764.0,0.71
2025-07-16,36.79,36.7,36.84,36.48,94712,347127645.0,0.36
2025-07-17,36.7,37.95,38.0,36.69,342128,1284099711.0,1.28
2025-07-18,37.9,39.13,39.39,37.7,476901,1848141214.0,1.79
2025-07-21,39.0,38.92,39.54,38.75,239460,934860567.0,0.9
2025-07-22,38.81,38.86,39.45,38.58,216083,842441354.0,0.81
2025-07-23,38.72,38.12,38.81,38.04,221187,847728024.0,0.83
2025-07-24,38.2,39.99,39.99,38.2,482826,1906335617.0,1.81
2025-07-25,39.8,40.61,41.3,39.49,431364,1738436359.0,1.62
2025-07-28,40.36,41.77,42.21,40.36,558654,2314267058.0,2.1
2025-07-29,41.57,42.87,43.08,41.31,421322,1776705920.0,1.58
2025-07-30,42.88,42.48,43.5,42.24,385508,1648114123.0,1.45
2025-07-31,42.25,42.36,42.93,41.66,368202,1554820905.0,1.38
2025-08-01,42.35,41.26,42.35,41.0,270562,1123527894.0,1.02
2025-08-04,41.23,41.76,42.42,41.23,255945,1071900002.0,0.96
2025-08-05,41.88,41.25,41.99,41.14,227477,943068341.0,0.85
2025-08-06,41.25,41.84,42.5,41.22,286081,1199095283.0,1.07
2025-08-07,41.85,41.69,41.96,41.3,166607,692701970.0,0.63
2025-08-08,41.6,41.53,41.84,41.33,70294,292144076.0,0.26
