date,open,close,high,low,volume,amount,turnover
2025-01-02,6.65,6.32,6.66,6.25,874921,578835613.52,1.58
2025-01-03,6.35,6.16,6.37,6.13,619049,395346244.54,1.12
2025-01-06,6.15,6.17,6.22,6.11,389519,245818989.55,0.7
2025-01-07,6.19,6.21,6.23,6.12,375275,237376560.94,0.68
2025-01-08,6.2,6.29,6.37,6.0,757780,479152911.88,1.37
2025-01-09,6.25,6.22,6.3,6.2,491236,314055057.8,0.89
2025-01-10,6.22,6.13,6.29,6.11,328948,208599489.08,0.59
2025-01-13,6.08,6.12,6.17,6.04,373414,233412835.68,0.68
2025-01-14,6.14,6.3,6.32,6.11,617036,394507321.23,1.12
2025-01-15,6.26,6.29,6.33,6.23,391349,251323042.64,0.71
2025-01-16,6.32,6.27,6.43,6.21,413272,267008480.47,0.75
2025-01-17,6.25,6.28,6.33,6.22,266962,171691686.67,0.48
2025-01-20,6.33,6.34,6.39,6.3,308545,200504962.08,0.56
2025-01-21,6.38,6.33,6.39,6.27,263486,170504773.4,0.48
2025-01-22,6.27,6.32,6.34,6.24,291160,187465919.53,0.53
2025-01-23,6.46,6.4,6.58,6.39,631811,419324876.5,1.14
2025-01-24,6.38,6.43,6.48,6.37,388822,255960137.45,0.7
2025-01-27,6.45,6.21,6.45,6.21,502942,324785673.38,0.91
2025-02-05,6.27,6.19,6.29,6.19,339593,216862217.98,0.61
2025-02-06,6.18,6.26,6.29,6.15,424124,270585549.26,0.77
2025-02-07,6.27,6.42,6.51,6.23,744210,487132511.8,1.35
2025-02-10,6.42,6.42,6.49,6.37,386778,254267310.96,0.7
2025-02-11,6.42,6.38,6.43,6.31,388322,252695889.78,0.7
2025-02-12,6.38,6.49,6.51,6.35,474172,311358946.47,0.86
2025-02-13,6.53,6.47,6.6,6.43,578842,384854604.11,1.05
2025-02-14,6.45,6.49,6.51,6.42,409310,270862153.3,0.74
2025-02-17,6.54,6.48,6.58,6.45,470794,313155014.45,0.85
2025-02-18,6.46,6.28,6.47,6.26,451378,294445425.13,0.82
2025-02-19,6.28,6.36,6.39,6.27,420950,273312411.51,0.76
2025-02-20,6.36,6.35,6.37,6.3,332548,215824911.98,0.6
2025-02-21,6.35,6.51,6.53,6.3,644795,425308091.69,1.17
2025-02-24,6.5,6.46,6.53,6.42,407612,269980663.87,0.74
2025-02-25,6.4,6.35,6.43,6.33,344339,224937242.02,0.62
2025-02-26,6.37,6.53,6.54,6.35,547122,360170964.78,0.99
2025-02-27,6.47,6.48,6.55,6.37,631500,417441799.88,1.14
2025-02-28,6.45,6.28,6.57,6.25,659330,430671840.04,1.19
2025-03-03,6.29,6.26,6.36,6.23,465614,300531320.54,0.84
2025-03-04,6.24,6.28,6.33,6.22,273383,175744809.28,0.49
2025-03-05,6.28,6.27,6.29,6.19,332033,212294365.68,0.6
2025-03-06,6.3,6.4,6.42,6.29,535161,348968807.1,0.97
2025-03-07,6.37,6.3,6.38,6.29,366114,237118263.62,0.66
2025-03-10,6.3,6.28,6.31,6.25,272833,175206152.2,0.49
2025-03-11,6.23,6.33,6.33,6.2,280070,179923519.2,0.51
2025-03-12,6.33,6.35,6.42,6.3,364052,236864980.44,0.66
2025-03-13,6.33,6.32,6.39,6.26,282721,182942048.7,0.51
