date,open,close,high,low,volume,amount,turnover
2025-01-02,4.21,4.12,4.27,4.09,395244,165745404.49,1.04
2025-01-03,4.12,4.06,4.18,4.04,415887,171979549.58,1.09
2025-01-06,4.04,4.08,4.11,4.02,314112,128249239.08,0.82
2025-01-07,4.06,4.26,4.28,4.06,437819,183947307.42,1.15
2025-01-08,4.25,4.22,4.28,4.12,386982,162656501.31,1.02
2025-01-09,4.19,4.23,4.3,4.18,294277,125730845.0,0.77
2025-01-10,4.24,4.16,4.29,4.15,261621,110603614.57,0.69
2025-01-13,4.12,4.14,4.18,4.1,239774,99784808.0,0.63
2025-01-14,4.17,4.36,4.37,4.16,507736,218251911.84,1.33
2025-01-15,4.34,4.36,4.37,4.27,336766,146268899.28,0.88
2025-01-16,4.37,4.42,4.48,4.36,441877,196342490.25,1.16
2025-01-17,4.39,4.47,4.48,4.38,339667,151666722.44,0.89
2025-01-20,4.49,4.45,4.54,4.42,362772,162952096.65,0.95
2025-01-21,4.46,4.3,4.47,4.28,498354,217452887.9,1.31
2025-01-22,4.29,4.25,4.3,4.21,313704,133863939.9,0.82
2025-01-23,4.29,4.17,4.35,4.17,459151,196432889.54,1.2
2025-01-24,4.17,4.26,4.27,4.15,322809,136755258.14,0.85
2025-01-27,4.28,4.22,4.34,4.22,228239,97950502.65,0.6
2025-02-05,4.26,4.2,4.28,4.18,294336,124967403.54,0.77
2025-02-06,4.19,4.24,4.25,4.16,297651,125852366.65,0.78
2025-02-07,4.24,4.34,4.39,4.22,469357,204037877.05,1.23
2025-02-10,4.38,4.34,4.43,4.33,537011,235619453.25,1.41
2025-02-11,4.34,4.29,4.36,4.24,416517,178946332.23,1.09
2025-02-12,4.34,4.46,4.52,4.32,780993,347574274.76,2.05
2025-02-13,4.46,4.35,4.47,4.35,517943,228436466.05,1.36
2025-02-14,4.42,4.36,4.55,4.34,532645,235614781.29,1.4
2025-02-17,4.37,4.28,4.38,4.26,550748,237467469.61,1.44
2025-02-18,4.27,4.23,4.3,4.21,367419,157165121.24,0.96
2025-02-19,4.21,4.25,4.27,4.21,279965,119459477.19,0.73
2025-02-20,4.25,4.32,4.33,4.23,496604,214348360.43,1.3
2025-02-21,4.33,4.33,4.46,4.29,691098,302281600.54,1.81
2025-02-24,4.35,4.31,4.38,4.29,427578,185897584.42,1.12
2025-02-25,4.3,4.27,4.33,4.25,351680,151244964.64,0.92
2025-02-26,4.27,4.29,4.33,4.25,410084,176418019.48,1.08
2025-02-27,4.28,4.24,4.29,4.19,450991,191789190.25,1.18
2025-02-28,4.23,4.24,4.28,4.2,469030,199709508.54,1.23
2025-03-03,4.24,4.56,4.67,4.21,2050997,938496751.41,5.38
