2025-08-08 11:10:16,546 [INFO] fetch_kline.py:82 筛选得到 3259 只股票
2025-08-08 11:10:16,548 [INFO] fetch_kline.py:331 开始抓取 3259 支股票 | 数据源:akshare | 频率:day | 日期:20250101 → 20250808
2025-08-08 11:10:38,052 [WARNING] fetch_kline.py:164 AKShare 拉取 002270 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:38,117 [WARNING] fetch_kline.py:164 AKShare 拉取 002271 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:38,321 [WARNING] fetch_kline.py:164 AKShare 拉取 002272 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:38,518 [WARNING] fetch_kline.py:164 AKShare 拉取 002268 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:38,518 [WARNING] fetch_kline.py:164 AKShare 拉取 002267 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:38,962 [WARNING] fetch_kline.py:164 AKShare 拉取 002273 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:39,478 [WARNING] fetch_kline.py:164 AKShare 拉取 002274 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:39,624 [WARNING] fetch_kline.py:164 AKShare 拉取 002275 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:39,704 [WARNING] fetch_kline.py:164 AKShare 拉取 002270 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:39,742 [WARNING] fetch_kline.py:164 AKShare 拉取 002271 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:40,354 [WARNING] fetch_kline.py:164 AKShare 拉取 002272 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:40,571 [WARNING] fetch_kline.py:164 AKShare 拉取 002273 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:40,758 [WARNING] fetch_kline.py:164 AKShare 拉取 002274 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:41,148 [WARNING] fetch_kline.py:164 AKShare 拉取 002266 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:41,314 [WARNING] fetch_kline.py:164 AKShare 拉取 002265 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:41,381 [WARNING] fetch_kline.py:164 AKShare 拉取 002275 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:42,081 [WARNING] fetch_kline.py:164 AKShare 拉取 002268 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:42,344 [WARNING] fetch_kline.py:164 AKShare 拉取 002271 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:42,553 [WARNING] fetch_kline.py:164 AKShare 拉取 002267 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:43,475 [WARNING] fetch_kline.py:164 AKShare 拉取 002272 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:43,587 [WARNING] fetch_kline.py:164 AKShare 拉取 002275 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:43,665 [WARNING] fetch_kline.py:164 AKShare 拉取 002270 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:43,728 [WARNING] fetch_kline.py:164 AKShare 拉取 002273 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:44,160 [WARNING] fetch_kline.py:164 AKShare 拉取 002274 失败(3/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:45,332 [WARNING] fetch_kline.py:164 AKShare 拉取 002276 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:45,786 [WARNING] fetch_kline.py:164 AKShare 拉取 002277 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:46,553 [WARNING] fetch_kline.py:164 AKShare 拉取 002279 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:46,863 [WARNING] fetch_kline.py:164 AKShare 拉取 002276 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:46,970 [WARNING] fetch_kline.py:164 AKShare 拉取 002277 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:47,171 [WARNING] fetch_kline.py:164 AKShare 拉取 002281 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:47,582 [WARNING] fetch_kline.py:164 AKShare 拉取 002283 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:47,676 [WARNING] fetch_kline.py:164 AKShare 拉取 002284 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:48,150 [WARNING] fetch_kline.py:164 AKShare 拉取 002287 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:48,579 [WARNING] fetch_kline.py:164 AKShare 拉取 002289 失败(1/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:48,605 [WARNING] fetch_kline.py:164 AKShare 拉取 002279 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:48,901 [WARNING] fetch_kline.py:164 AKShare 拉取 002283 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
2025-08-08 11:10:49,242 [WARNING] fetch_kline.py:164 AKShare 拉取 002281 失败(2/3): ('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))
